id	label	longitud	latitud	abundance
147	Tinamus major	-84.0128	10.4288	1
148	Tinamus major	-84.0128	10.4288	1
149	Tinamus major	-84.0128	10.4288	1
150	Tinamus major	-84.0128	10.4288	1
151	Tinamus major	-84.0128	10.4288	1
152	Tinamus major	-84.0128	10.4288	1
153	Tinamus major	-84.0128	10.4288	1
154	Tinamus major	-84.0128	10.4288	1
155	Tinamus major	-84.0128	10.4288	1
156	Tinamus major	-84.0128	10.4288	1
157	Tinamus major	-84.0128	10.4288	1
158	Tinamus major	-84.0128	10.4288	1
159	Tinamus major	-84.0128	10.4288	1
160	Tinamus major	-84.0128	10.4288	1
161	Tinamus major	-84.0128	10.4288	1
162	Tinamus major	-84.0128	10.4288	1
163	Tinamus major	-84.0128	10.4288	1
164	Tinamus major	-84.0128	10.4288	1
165	Tinamus major	-84.0128	10.4288	1
166	Tinamus major	-84.0128	10.4288	1
167	Tinamus major	-84.0128	10.4288	1
168	Tinamus major	-84.0128	10.4288	1
169	Tinamus major	-84.0128	10.4288	1
170	Tinamus major	-84.0128	10.4288	1
171	Tinamus major	-84.0128	10.4288	1
172	Tinamus major	-84.0128	10.4288	1
173	Tinamus major	-84.0128	10.4288	1
174	Tinamus major	-84.0128	10.4288	1
175	Tinamus major	-84.0128	10.4288	1
176	Tinamus major	-84.0128	10.4288	1
177	Tinamus major	-84.0128	10.4288	1
178	Tinamus major	-84.0128	10.4288	1
179	Tinamus major	-84.0128	10.4288	1
180	Tinamus major	-84.0128	10.4288	1
181	Tinamus major	-84.0128	10.4288	1
182	Tinamus major	-84.0128	10.4288	1
183	Tinamus major	-84.0128	10.4288	1
184	Tinamus major	-84.0128	10.4288	1
185	Tinamus major	-84.0128	10.4288	1
186	Tinamus major	-84.0128	10.4288	1
187	Tinamus major	-84.0128	10.4288	1
188	Tinamus major	-84.0128	10.4288	1
189	Tinamus major	-84.0128	10.4288	1
190	Tinamus major	-84.0128	10.4288	1
191	Tinamus major	-84.0128	10.4288	1
192	Tinamus major	-84.0128	10.4288	1
193	Tinamus major	-84.0128	10.4288	1
194	Tinamus major	-84.0128	10.4288	1
195	Tinamus major	-84.0128	10.4288	1
196	Tinamus major	-84.0128	10.4288	1
197	Tinamus major	-84.0128	10.4288	1
198	Tinamus major	-84.0128	10.4288	1
199	Tinamus major	-84.0128	10.4288	1
200	Tinamus major	-84.0128	10.4288	1
201	Tinamus major	-84.0128	10.4288	1
202	Tinamus major	-84.0128	10.4288	1
203	Tinamus major	-84.0128	10.4288	1
204	Tinamus major	-84.0128	10.4288	1
205	Tinamus major	-84.0128	10.4288	1
206	Tinamus major	-84.0128	10.4288	1
207	Tinamus major	-84.0128	10.4288	1
208	Tinamus major	-84.0128	10.4288	1
209	Tinamus major	-84.0128	10.4288	1
210	Tinamus major	-84.0128	10.4288	1
211	Tinamus major	-84.0128	10.4288	1
212	Tinamus major	-84.0128	10.4288	1
213	Tinamus major	-84.0128	10.4288	1
214	Tinamus major	-84.0128	10.4288	1
215	Tinamus major	-84.0128	10.4288	1
216	Tinamus major	-84.0128	10.4288	1
217	Tinamus major	-84.0128	10.4288	1
218	Tinamus major	-84.0128	10.4288	1
219	Tinamus major	-84.0128	10.4288	1
220	Tinamus major	-84.0128	10.4288	1
221	Tinamus major	-84.0128	10.4288	1
222	Tinamus major	-84.0128	10.4288	1
223	Tinamus major	-84.0128	10.4288	1
224	Tinamus major	-84.0128	10.4288	1
225	Tinamus major	-84.0128	10.4288	1
226	Tinamus major	-84.0128	10.4288	1
227	Tinamus major	-84.0128	10.4288	1
228	Tinamus major	-84.0128	10.4288	1
229	Tinamus major	-84.0128	10.4288	1
230	Tinamus major	-84.0128	10.4288	1
231	Tinamus major	-84.0128	10.4288	1
232	Tinamus major	-84.0128	10.4288	1
233	Tinamus major	-84.0128	10.4288	1
234	Tinamus major	-84.0128	10.4288	1
235	Tinamus major	-84.0128	10.4288	1
236	Tinamus major	-84.0128	10.4288	1
237	Tinamus major	-84.0128	10.4288	1
238	Tinamus major	-84.0128	10.4288	1
239	Tinamus major	-84.0128	10.4288	1
240	Tinamus major	-84.0128	10.4288	1
241	Tinamus major	-84.0128	10.4288	1
242	Tinamus major	-84.0128	10.4288	1
243	Tinamus major	-84.0128	10.4288	1
244	Tinamus major	-84.0128	10.4288	1
245	Tinamus major	-84.0128	10.4288	1
246	Tinamus major	-84.0128	10.4288	1
247	Tinamus major	-84.0128	10.4288	1
248	Tinamus major	-84.0128	10.4288	1
249	Tinamus major	-84.0128	10.4288	1
250	Tinamus major	-84.0128	10.4288	1
251	Tinamus major	-84.0128	10.4288	1
252	Tinamus major	-84.0128	10.4288	1
253	Tinamus major	-84.0128	10.4288	1
254	Tinamus major	-84.0128	10.4288	1
255	Tinamus major	-84.0128	10.4288	1
256	Tinamus major	-84.0128	10.4288	1
257	Tinamus major	-84.0128	10.4288	1
258	Tinamus major	-84.0128	10.4288	1
259	Tinamus major	-84.0128	10.4288	1
260	Tinamus major	-84.0128	10.4288	1
261	Tinamus major	-84.0128	10.4288	1
262	Tinamus major	-84.0128	10.4288	1
263	Tinamus major	-84.0128	10.4288	1
264	Tinamus major	-84.0128	10.4288	1
265	Tinamus major	-84.0128	10.4288	1
266	Tinamus major	-84.0128	10.4288	1
267	Tinamus major	-84.0128	10.4288	1
268	Tinamus major	-84.0128	10.4288	1
269	Tinamus major	-84.0128	10.4288	1
270	Tinamus major	-84.0128	10.4288	1
271	Tinamus major	-84.0128	10.4288	1
272	Tinamus major	-84.0128	10.4288	1
273	Tinamus major	-84.0128	10.4288	1
274	Tinamus major	-84.0128	10.4288	1
275	Tinamus major	-84.0128	10.4288	1
276	Tinamus major	-84.0128	10.4288	1
277	Tinamus major	-84.0128	10.4288	1
278	Tinamus major	-84.0128	10.4288	1
279	Tinamus major	-84.0128	10.4288	1
280	Tinamus major	-84.0128	10.4288	1
281	Tinamus major	-84.0128	10.4288	1
282	Tinamus major	-84.0128	10.4288	1
283	Tinamus major	-84.0128	10.4288	1
284	Tinamus major	-84.0128	10.4288	1
285	Tinamus major	-84.0128	10.4288	1
286	Tinamus major	-84.0128	10.4288	1
287	Tinamus major	-84.0128	10.4288	1
288	Tinamus major	-84.0128	10.4288	1
289	Tinamus major	-84.0128	10.4288	1
290	Tinamus major	-84.0128	10.4288	1
291	Tinamus major	-84.0128	10.4288	1
292	Tinamus major	-84.0128	10.4288	1
293	Tinamus major	-84.0128	10.4288	1
294	Tinamus major	-84.0128	10.4288	1
295	Tinamus major	-84.0128	10.4288	1
296	Tinamus major	-84.0128	10.4288	1
297	Tinamus major	-84.0128	10.4288	1
298	Tinamus major	-84.0128	10.4288	1
299	Tinamus major	-84.0128	10.4288	1
300	Tinamus major	-84.0128	10.4288	1
301	Tinamus major	-84.0128	10.4288	1
302	Tinamus major	-84.0128	10.4288	1
303	Tinamus major	-84.0128	10.4288	1
304	Tinamus major	-84.0128	10.4288	1
305	Tinamus major	-84.0128	10.4288	1
306	Tinamus major	-84.0128	10.4288	1
307	Tinamus major	-84.0128	10.4288	1
308	Tinamus major	-84.0128	10.4288	1
309	Tinamus major	-84.0128	10.4288	1
310	Tinamus major	-84.0128	10.4288	1
311	Tinamus major	-84.0128	10.4288	1
312	Tinamus major	-84.0128	10.4288	1
313	Tinamus major	-84.0128	10.4288	1
314	Tinamus major	-84.0128	10.4288	1
315	Tinamus major	-84.0128	10.4288	1
316	Tinamus major	-84.0128	10.4288	1
317	Tinamus major	-84.0128	10.4288	1
318	Tinamus major	-84.0128	10.4288	1
319	Tinamus major	-84.0128	10.4288	1
320	Tinamus major	-84.0128	10.4288	1
321	Tinamus major	-84.0128	10.4288	1
322	Tinamus major	-84.0128	10.4288	1
323	Tinamus major	-84.0128	10.4288	1
324	Tinamus major	-84.0128	10.4288	1
325	Tinamus major	-84.0128	10.4288	1
326	Tinamus major	-84.0128	10.4288	1
327	Tinamus major	-84.0128	10.4288	1
328	Tinamus major	-84.0128	10.4288	1
329	Tinamus major	-84.0128	10.4288	1
330	Tinamus major	-84.0128	10.4288	1
331	Tinamus major	-84.0128	10.4288	1
332	Tinamus major	-84.0128	10.4288	1
333	Tinamus major	-84.0128	10.4288	1
334	Tinamus major	-84.0128	10.4288	1
335	Tinamus major	-84.0128	10.4288	1
336	Tinamus major	-84.0128	10.4288	1
337	Tinamus major	-84.0128	10.4288	1
338	Tinamus major	-84.0128	10.4288	1
339	Tinamus major	-84.0128	10.4288	1
340	Tinamus major	-84.0128	10.4288	1
341	Tinamus major	-84.0128	10.4288	1
342	Tinamus major	-84.0128	10.4288	1
343	Tinamus major	-84.0128	10.4288	1
344	Tinamus major	-84.0128	10.4288	1
345	Tinamus major	-84.0128	10.4288	1
346	Tinamus major	-84.0128	10.4288	1
347	Tinamus major	-84.0128	10.4288	1
348	Tinamus major	-84.0128	10.4288	1
349	Tinamus major	-84.0128	10.4288	1
350	Tinamus major	-84.0128	10.4288	1
351	Tinamus major	-84.0128	10.4288	1
352	Tinamus major	-84.0128	10.4288	1
353	Tinamus major	-84.0128	10.4288	1
354	Tinamus major	-84.0128	10.4288	1
355	Tinamus major	-84.0128	10.4288	1
356	Tinamus major	-84.0128	10.4288	1
357	Tinamus major	-84.0128	10.4288	1
358	Tinamus major	-84.0128	10.4288	1
359	Tinamus major	-84.0128	10.4288	1
360	Tinamus major	-84.0128	10.4288	1
361	Tinamus major	-84.0128	10.4288	1
362	Tinamus major	-84.0128	10.4288	1
363	Tinamus major	-84.0128	10.4288	1
364	Tinamus major	-84.0128	10.4288	1
365	Tinamus major	-84.0128	10.4288	1
366	Tinamus major	-84.0128	10.4288	1
367	Tinamus major	-84.0128	10.4288	1
368	Tinamus major	-84.0128	10.4288	1
369	Tinamus major	-84.0128	10.4288	1
370	Tinamus major	-84.0128	10.4288	1
371	Tinamus major	-84.0128	10.4288	1
372	Tinamus major	-84.0128	10.4288	1
373	Tinamus major	-84.0128	10.4288	1
374	Tinamus major	-84.0128	10.4288	1
375	Tinamus major	-84.0128	10.4288	1
376	Tinamus major	-84.0128	10.4288	1
